           x [mm]           y [mm]           z [mm]       SAR [W/kg]
              -97               74               75                0
              -92               74               75                0
              -87               74               75                0
              -82               74               75                0
              -77               74               75                0
              -72               74               75                0
              -67               74               75                0
              -62               74               75                0
              -57               74               75                0
              -52               74               75      0.093621895
              -47               74               75      0.096104957
              -42               74               75      0.081516258
              -37               74               75      0.075467676
              -32               74               75      0.063710138
              -27               74               75      0.054744694
              -22               74               75      0.045621824
              -17               74               75      0.034319118
              -12               74               75      0.025169048
               -7               74               75      0.019567309
               -2               74               75      0.016270753
                3               74               75      0.015379495
                8               74               75      0.017438728
               13               74               75        0.0220972
               18               74               75      0.027877225
               23               74               75      0.038083211
               28               74               75      0.053451233
               33               74               75      0.065077208
               38               74               75      0.073901981
               43               74               75      0.083831988
               48               74               75      0.091850474
               53               74               75       0.12025448
               58               74               75        0.1200705
               63               74               75                0
               68               74               75                0
               73               74               75                0
               78               74               75                0
               83               74               75                0
               88               74               75                0
               93               74               75                0
               98               74               75                0
              103               74               75                0
              108               74               75                0
              113               74               75                0
              118               74               75                0
              123               74               75                0
             -127               79               75                0
             -122               79               75                0
             -117               79               75                0
             -112               79               75                0
             -107               79               75                0
             -102               79               75                0
              -97               79               75                0
              -92               79               75                0
              -87               79               75                0
              -82               79               75                0
              -77               79               75                0
              -72               79               75                0
              -67               79               75                0
              -62               79               75                0
              -57               79               75                0
              -52               79               75      0.084873825
              -47               79               75      0.087178126
              -42               79               75       0.07968685
              -37               79               75      0.064353429
              -32               79               75         0.052492
              -27               79               75      0.045180194
              -22               79               75      0.039081626
              -17               79               75      0.030132085
              -12               79               75      0.022333778
               -7               79               75      0.017401775
               -2               79               75      0.014685175
                3               79               75      0.013746605
                8               79               75      0.015355807
               13               79               75      0.019754101
               18               79               75      0.024585027
               23               79               75      0.033460699
               28               79               75      0.047049697
               33               79               75      0.055046178
               38               79               75       0.06178052
               43               79               75      0.074106626
               48               79               75      0.091744572
               53               79               75      0.099278629
               58               79               75                0
               63               79               75                0
               68               79               75                0
               73               79               75                0
               78               79               75                0
               83               79               75                0
               88               79               75                0
               93               79               75                0
               98               79               75                0
              103               79               75                0
              108               79               75                0
              113               79               75                0
              118               79               75                0
              123               79               75                0
             -127               84               75                0
             -122               84               75                0
             -117               84               75                0
             -112               84               75                0
             -107               84               75                0
             -102               84               75                0
              -97               84               75                0
              -92               84               75                0
              -87               84               75                0
              -82               84               75                0
              -77               84               75                0
              -72               84               75                0
              -67               84               75                0
              -62               84               75                0
              -57               84               75                0
              -52               84               75                0
              -47               84               75      0.076813661
              -42               84               75      0.076580979
              -37               84               75      0.069561481
              -32               84               75      0.045054719
              -27               84               75       0.03342884
              -22               84               75      0.030002121
              -17               84               75      0.034211926
              -12               84               75      0.029994749
               -7               84               75      0.020548271
               -2               84               75      0.016565572
                3               84               75      0.016150095
                8               84               75      0.018664273
               13               84               75      0.029449187
               18               84               75       0.04167252
               23               84               75      0.052898232
               28               84               75      0.045578826
               33               84               75      0.047288693
               38               84               75      0.067198426
               43               84               75      0.079979032
               48               84               75      0.083432227
               53               84               75      0.083854377
               58               84               75                0
               63               84               75                0
               68               84               75                0
               73               84               75                0
               78               84               75                0
               83               84               75                0
               88               84               75                0
               93               84               75                0
               98               84               75                0
              103               84               75                0
              108               84               75                0
              113               84               75                0
              118               84               75                0
              123               84               75                0
             -127               89               75                0
             -122               89               75                0
             -117               89               75                0
             -112               89               75                0
             -107               89               75                0
             -102               89               75                0
              -97               89               75                0
              -92               89               75                0
              -87               89               75                0
              -82               89               75                0
              -77               89               75                0
              -72               89               75                0
              -67               89               75                0
              -62               89               75                0
              -57               89               75                0
              -52               89               75                0
              -47               89               75                0
              -42               89               75      0.060974561
              -37               89               75      0.060368158
              -32               89               75       0.06024351
              -27               89               75       0.04319701
              -22               89               75                0
              -17               89               75      0.039402783
              -12               89               75      0.034504071
               -7               89               75      0.022402752
               -2               89               75      0.017802728
                3               89               75      0.016105684
                8               89               75      0.022594757
               13               89               75      0.029547859
               18               89               75      0.043651067
               23               89               75       0.05207656
               28               89               75                0
               33               89               75      0.066074565
               38               89               75       0.07067474
               43               89               75      0.070827484
               48               89               75      0.072000802
               53               89               75                0
               58               89               75                0
               63               89               75                0
               68               89               75                0
               73               89               75                0
               78               89               75                0
               83               89               75                0
               88               89               75                0
               93               89               75                0
               98               89               75                0
              103               89               75                0
              108               89               75                0
              113               89               75                0
              118               89               75                0
              123               89               75                0
             -127               94               75                0
             -122               94               75                0
             -117               94               75                0
             -112               94               75                0
             -107               94               75                0
             -102               94               75                0
              -97               94               75                0
              -92               94               75                0
              -87               94               75                0
              -82               94               75                0
              -77               94               75                0
              -72               94               75                0
              -67               94               75                0
              -62               94               75                0
              -57               94               75                0
              -52               94               75                0
              -47               94               75                0
              -42               94               75                0
              -37               94               75      0.034901068
              -32               94               75      0.034135498
              -27               94               75      0.034022339
              -22               94               75       0.03172458
              -17               94               75       0.02969294
              -12               94               75                0
               -7               94               75                0
               -2               94               75                0
                3               94               75                0
                8               94               75                0
               13               94               75                0
               18               94               75                0
               23               94               75      0.037042897
               28               94               75      0.038874812
               33               94               75      0.041500196
               38               94               75      0.043959279
               43               94               75                0
               48               94               75                0
               53               94               75                0
               58               94               75                0
               63               94               75                0
               68               94               75                0
               73               94               75                0
               78               94               75                0
               83               94               75                0
               88               94               75                0
               93               94               75                0
               98               94               75                0
              103               94               75                0
              108               94               75                0
              113               94               75                0
              118               94               75                0
              123               94               75                0
             -127               99               75                0
             -122               99               75                0
             -117               99               75                0
             -112               99               75                0
             -107               99               75                0
             -102               99               75                0
              -97               99               75                0
              -92               99               75                0
              -87               99               75                0
              -82               99               75                0
              -77               99               75                0
              -72               99               75                0
              -67               99               75                0
              -62               99               75                0
              -57               99               75                0
              -52               99               75                0
              -47               99               75                0
              -42               99               75                0
              -37               99               75                0
              -32               99               75                0
              -27               99               75      0.023830639
              -22               99               75      0.020410076
              -17               99               75      0.016003441
              -12               99               75      0.014219874
               -7               99               75      0.012353698
               -2               99               75      0.010651409
                3               99               75     0.0091376696
                8               99               75      0.010118932
               13               99               75      0.012613434
               18               99               75      0.016839214
               23               99               75      0.020580135
               28               99               75      0.025764212
               33               99               75      0.031119188
               38               99               75                0
               43               99               75                0
               48               99               75                0
               53               99               75                0
               58               99               75                0
               63               99               75                0
               68               99               75                0
               73               99               75                0
               78               99               75                0
               83               99               75                0
               88               99               75                0
               93               99               75                0
               98               99               75                0
              103               99               75                0
              108               99               75                0
              113               99               75                0
              118               99               75                0
              123               99               75                0
             -127              104               75                0
             -122              104               75                0
             -117              104               75                0
             -112              104               75                0
             -107              104               75                0
             -102              104               75                0
              -97              104               75                0
              -92              104               75                0
              -87              104               75                0
              -82              104               75                0
              -77              104               75                0
              -72              104               75                0
              -67              104               75                0
              -62              104               75                0
              -57              104               75                0
              -52              104               75                0
              -47              104               75                0
              -42              104               75                0
              -37              104               75                0
              -32              104               75                0
              -27              104               75                0
              -22              104               75                0
              -17              104               75      0.016396895
              -12              104               75      0.013219528
               -7              104               75      0.010486509
               -2              104               75       0.00793589
                3              104               75     0.0072537386
                8              104               75     0.0087312739
               13              104               75      0.012209078
               18              104               75      0.015125452
               23              104               75      0.019765707
               28              104               75      0.024616282
               33              104               75                0
               38              104               75                0
               43              104               75                0
               48              104               75                0
               53              104               75                0
               58              104               75                0
               63              104               75                0
               68              104               75                0
               73              104               75                0
               78              104               75                0
               83              104               75                0
               88              104               75                0
               93              104               75                0
               98              104               75                0
              103              104               75                0
              108              104               75                0
              113              104               75                0
              118              104               75                0
              123              104               75                0
             -127              109               75                0
             -122              109               75                0
             -117              109               75                0
             -112              109               75                0
             -107              109               75                0
             -102              109               75                0
              -97              109               75                0
              -92              109               75                0
              -87              109               75                0
              -82              109               75                0
              -77              109               75                0
              -72              109               75                0
              -67              109               75                0
              -62              109               75                0
              -57              109               75                0
              -52              109               75                0
              -47              109               75                0
              -42              109               75                0
              -37              109               75                0
              -32              109               75                0
              -27              109               75                0
              -22              109               75                0
              -17              109               75                0
              -12              109               75                0
               -7              109               75                0
               -2              109               75                0
                3              109               75                0
                8              109               75                0
               13              109               75                0
               18              109               75                0
               23              109               75                0
               28              109               75                0
               33              109               75                0
               38              109               75                0
               43              109               75                0
               48              109               75                0
               53              109               75                0
               58              109               75                0
               63              109               75                0
               68              109               75                0
               73              109               75                0
               78              109               75                0
               83              109               75                0
               88              109               75                0
               93              109               75                0
               98              109               75                0
              103              109               75                0
              108              109               75                0
              113              109               75                0
              118              109               75                0
              123              109               75                0
             -127              114               75                0
             -122              114               75                0
             -117              114               75                0
             -112              114               75                0
             -107              114               75                0
             -102              114               75                0
              -97              114               75                0
              -92              114               75                0
              -87              114               75                0
              -82              114               75                0
              -77              114               75                0
              -72              114               75                0
              -67              114               75                0
              -62              114               75                0
              -57              114               75                0
              -52              114               75                0
              -47              114               75                0
              -42              114               75                0
              -37              114               75                0
              -32              114               75                0
              -27              114               75                0
              -22              114               75                0
              -17              114               75                0
              -12              114               75                0
               -7              114               75                0
               -2              114               75                0
                3              114               75                0
                8              114               75                0
               13              114               75                0
               18              114               75                0
               23              114               75                0
               28              114               75                0
               33              114               75                0
               38              114               75                0
               43              114               75                0
               48              114               75                0
               53              114               75                0
               58              114               75                0
               63              114               75                0
               68              114               75                0
               73              114               75                0
               78              114               75                0
               83              114               75                0
               88              114               75                0
               93              114               75                0
               98              114               75                0
              103              114               75                0
              108              114               75                0
              113              114               75                0
              118              114               75                0
              123              114               75                0
             -127              119               75                0
             -122              119               75                0
             -117              119               75                0
             -112              119               75                0
             -107              119               75                0
             -102              119               75                0
              -97              119               75                0
              -92              119               75                0
              -87              119               75                0
              -82              119               75                0
              -77              119               75                0
              -72              119               75                0
              -67              119               75                0
              -62              119               75                0
              -57              119               75                0
              -52              119               75                0
              -47              119               75                0
              -42              119               75                0
              -37              119               75                0
              -32              119               75                0
              -27              119               75                0
              -22              119               75                0
              -17              119               75                0
              -12              119               75                0
               -7              119               75                0
               -2              119               75                0
                3              119               75                0
                8              119               75                0
               13              119               75                0
               18              119               75                0
               23              119               75                0
               28              119               75                0
               33              119               75                0
               38              119               75                0
               43              119               75                0
               48              119               75                0
               53              119               75                0
               58              119               75                0
               63              119               75                0
               68              119               75                0
               73              119               75                0
               78              119               75                0
               83              119               75                0
               88              119               75                0
               93              119               75                0
               98              119               75                0
              103              119               75                0
              108              119               75                0
              113              119               75                0
              118              119               75                0
              123              119               75                0
             -127              124               75                0
             -122              124               75                0
             -117              124               75                0
             -112              124               75                0
             -107              124               75                0
             -102              124               75                0
              -97              124               75                0
              -92              124               75                0
              -87              124               75                0
              -82              124               75                0
              -77              124               75                0
              -72              124               75                0
              -67              124               75                0
              -62              124               75                0
              -57              124               75                0
              -52              124               75                0
              -47              124               75                0
              -42              124               75                0
              -37              124               75                0
              -32              124               75                0
              -27              124               75                0
              -22              124               75                0
              -17              124               75                0
              -12              124               75                0
               -7              124               75                0
               -2              124               75                0
                3              124               75                0
                8              124               75                0
               13              124               75                0
               18              124               75                0
               23              124               75                0
               28              124               75                0
               33              124               75                0
               38              124               75                0
               43              124               75                0
               48              124               75                0
               53              124               75                0
               58              124               75                0
               63              124               75                0
               68              124               75                0
               73              124               75                0
               78              124               75                0
               83              124               75                0
               88              124               75                0
               93              124               75                0
               98              124               75                0
              103              124               75                0
              108              124               75                0
              113              124               75                0
              118              124               75                0
              123              124               75                0
             -127              129               75                0
             -122              129               75                0
             -117              129               75                0
             -112              129               75                0
             -107              129               75                0
             -102              129               75                0
              -97              129               75                0
              -92              129               75                0
              -87              129               75                0
              -82              129               75                0
              -77              129               75                0
              -72              129               75                0
              -67              129               75                0
              -62              129               75                0
              -57              129               75                0
              -52              129               75                0
              -47              129               75                0
              -42              129               75                0
              -37              129               75                0
              -32              129               75                0
              -27              129               75                0
              -22              129               75                0
              -17              129               75                0
              -12              129               75                0
               -7              129               75                0
               -2              129               75                0
                3              129               75                0
                8              129               75                0
               13              129               75                0
               18              129               75                0
               23              129               75                0
               28              129               75                0
               33              129               75                0
               38              129               75                0
               43              129               75                0
               48              129               75                0
               53              129               75                0
               58              129               75                0
               63              129               75                0
               68              129               75                0
               73              129               75                0
               78              129               75                0
               83              129               75                0
               88              129               75                0
               93              129               75                0
               98              129               75                0
              103              129               75                0
              108              129               75                0
              113              129               75                0
              118              129               75                0
              123              129               75                0
             -127              134               75                0
             -122              134               75                0
             -117              134               75                0
             -112              134               75                0
             -107              134               75                0
             -102              134               75                0
              -97              134               75                0
              -92              134               75                0
              -87              134               75                0
              -82              134               75                0
              -77              134               75                0
              -72              134               75                0
              -67              134               75                0
              -62              134               75                0
              -57              134               75                0
              -52              134               75                0
              -47              134               75                0
              -42              134               75                0
              -37              134               75                0
              -32              134               75                0
              -27              134               75                0
              -22              134               75                0
              -17              134               75                0
              -12              134               75                0
               -7              134               75                0
               -2              134               75                0
                3              134               75                0
                8              134               75                0
               13              134               75                0
               18              134               75                0
               23              134               75                0
               28              134               75                0
               33              134               75                0
               38              134               75                0
               43              134               75                0
               48              134               75                0
               53              134               75                0
               58              134               75                0
               63              134               75                0
               68              134               75                0
               73              134               75                0
               78              134               75                0
               83              134               75                0
               88              134               75                0
               93              134               75                0
               98              134               75                0
              103              134               75                0
