           x [mm]           y [mm]           z [mm]       SAR [W/kg]
                3              -71               75     0.0076954491
                8              -71               75      0.009998206
               13              -71               75      0.015003115
               18              -71               75      0.021098867
               23              -71               75      0.026855562
               28              -71               75      0.031706363
               33              -71               75      0.032864388
               38              -71               75      0.030075107
               43              -71               75      0.038410619
               48              -71               75      0.065199055
               53              -71               75      0.059916101
               58              -71               75                0
               63              -71               75                0
               68              -71               75                0
               73              -71               75                0
               78              -71               75                0
               83              -71               75                0
               88              -71               75                0
               93              -71               75                0
               98              -71               75                0
              103              -71               75                0
              108              -71               75                0
              113              -71               75                0
              118              -71               75                0
              123              -71               75                0
             -127              -66               75                0
             -122              -66               75                0
             -117              -66               75                0
             -112              -66               75                0
             -107              -66               75                0
             -102              -66               75                0
              -97              -66               75                0
              -92              -66               75                0
              -87              -66               75                0
              -82              -66               75                0
              -77              -66               75                0
              -72              -66               75                0
              -67              -66               75                0
              -62              -66               75      0.079812236
              -57              -66               75      0.093553886
              -52              -66               75      0.072596177
              -47              -66               75      0.049580045
              -42              -66               75       0.06060604
              -37              -66               75      0.064855345
              -32              -66               75      0.061659645
              -27              -66               75      0.052203059
              -22              -66               75      0.039666243
              -17              -66               75      0.030502798
              -12              -66               75      0.021728605
               -7              -66               75      0.013793487
               -2              -66               75      0.010199554
                3              -66               75     0.0097411256
                8              -66               75      0.012101652
               13              -66               75      0.018352259
               18              -66               75      0.026440235
               23              -66               75      0.034484528
               28              -66               75      0.043162778
               33              -66               75      0.048786156
               38              -66               75      0.047497924
               43              -66               75      0.042954005
               48              -66               75        0.0545642
               53              -66               75      0.084895402
               58              -66               75      0.070038728
               63              -66               75                0
               68              -66               75                0
               73              -66               75                0
               78              -66               75                0
               83              -66               75                0
               88              -66               75                0
               93              -66               75                0
               98              -66               75                0
              103              -66               75                0
              108              -66               75                0
              113              -66               75                0
              118              -66               75                0
              123              -66               75                0
             -127              -61               75                0
             -122              -61               75                0
             -117              -61               75                0
             -112              -61               75                0
             -107              -61               75                0
             -102              -61               75                0
              -97              -61               75                0
              -92              -61               75                0
              -87              -61               75                0
              -82              -61               75                0
              -77              -61               75                0
              -72              -61               75                0
              -67              -61               75                0
              -62              -61               75      0.096137106
              -57              -61               75       0.10215656
              -52              -61               75      0.067293532
              -47              -61               75      0.078964196
              -42              -61               75      0.093026325
              -37              -61               75      0.091001779
              -32              -61               75       0.07681974
              -27              -61               75      0.060196541
              -22              -61               75      0.044351824
              -17              -61               75      0.033560563
              -12              -61               75      0.024094176
               -7              -61               75      0.015951082
               -2              -61               75      0.012125412
                3              -61               75      0.011414589
                8              -61               75      0.013601535
               13              -61               75      0.020146385
               18              -61               75      0.028904203
               23              -61               75      0.038929366
               28              -61               75      0.052516192
               33              -61               75      0.064430028
               38              -61               75      0.069249466
               43              -61               75      0.067675576
               48              -61               75      0.057386585
               53              -61               75      0.068656676
               58              -61               75       0.10012972
               63              -61               75      0.078622475
